Dpt/Maille/Point/Haie;Dept;Maille;Point;PE;agricole;bati;foret;length;Observateur;Date;:eure;assise;classification;ornementale;ripisylve;intervention;taille;continuite;longueur;hauteur;largeur;bande;cloture;fosse;vieux;tetards;emondes;cavite;morts;plessee;nids;composition1;composition2;composition3;exotiques;lianes;occsol1;occsol2;Commentaire(s) e?ventuel(s) ;Accenteur mouchet;Alouette lulu;Bergeronnette des ruisseaux;Bergeronnette grise;Bergeronnette printanière;Bouvreuil pivoine;Bruant des roseaux;Bruant jaune;Bruant proyer;Bruant zizi;Busard cendré;Buse variable;Chardonneret élégant;Choucas des tours;Coucou gris;Effraie des clochers;Épervier d'Europe;Faucon crécerelle;Faucon hobereau;Fauvette à tête noire;Fauvette babillarde;Fauvette des jardins;Fauvette grisette;Fauvette indéterminée;Gobemouche gris;Gobemouche noir;Grimpereau des bois;Grimpereau des jardins;Grosbec casse-noyaux;Guêpier d'Europe;Héron cendré;Hirondelle de fenêtre;Hirondelle de rivage;Hirondelle rustique;Hypolaïs polyglotte;Linotte mélodieuse;Locustelle tachetée;Loriot d'Europe;Martin-pêcheur d'Europe;Mésange à longue queue;Mésange bleue;Mésange charbonnière;Mésange indéterminée;Mésange noire;Mésange nonnette;Milan noir;Moineau domestique;Moineau friquet;Phragmite des joncs;Pic épeiche;Pic épeichette;Pic mar;Pic vert;Pie-grièche écorcheur;Pinson des arbres;Pipit des arbres;Pipit farlouse;Pouillot fitis;Pouillot indéterminé;Pouillot véloce;Roitelet à triple bandeau;Rossignol philomèle;Rougegorge familier;Rougequeue à front blanc;Rougequeue noir;Rousserolle effarvatte;Rousserolle verderolle;Serin cini;Sittelle torchepot;Tarier pâtre;Tarin des aulnes;Torcol fourmilier;Tourterelle des bois;Tourterelle turque;Traquet motteux;Troglodyte mignon;Verdier d'Europe
10/M1/2/H;10;M1;2;10/M1/2;80,51323576;8,548267686;0;1126,692219;Charlotte EPLE;13/04/2021;8H;haie a plat ;H : Alignement d'arbres (pas de buissons, pas d'arbustes);non;non;pas d’entretien re?cent ;non;plus de troue?es que de haie;3;4;3;oui <1 m;non;non;oui;non;non;oui;non;non;non;verger de fruitiers alignés;;;non;non;culture;culture;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
10/M1/6/H;10;M1;6;10/M1/6;78,62536542;0;0,959154283;4484,710802;Charlotte EPLE;13/04/2021;7H35;haie a plat ;F : Haie multistrate (buissons, arbustes, arbres);non;oui;pas d’entretien re?cent ;non;haie avec quelques troue?es ;3;4;3;oui <1 m;non;non;non;non;non;non;non;non;non;erable champêtre;aubépine;;non;non;culture;prairie ;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/M12/6/H;10;M12;6;10/M12/6;55,03719189;6,309975768;16,38331315;2695,999011;Charlotte EPLE;09/04/2021;9H30;haie a plat ;D2 : Haie buissonnante avec arbres;non;non;pas d’entretien re?cent ;non;haie continue;3;4;3;oui >1 m;non;non;non;non;non;non;non;non;non;prunellier;aubépine;cornouiller;non;non;chemin;prairie ;;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
10/M13/6/H1;10;M13;6;10/M13/6;82,00742535;9,109707437;0;7552,395435;Charlotte EPLE;03/04/2021;7H;haie a plat ;D2 : Haie buissonnante avec arbres;non;non;taille en fac?ade des 2 co?te?s ;oui;haie avec quelques troue?es ;2;4;2;oui <1 m;non;non;non;non;non;non;non;non;non;cornouiller;aubépine;prunellier;non;non;chemin;prairie ;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
10/M13/6/H2;10;M13;6;10/M13/6;82,00742535;9,109707437;0;7552,395435;Charlotte EPLE;03/04/2021;7H;haie a plat ;D2 : Haie buissonnante avec arbres;non;non;taille en fac?ade des 2 co?te?s ;oui;haie avec quelques troue?es ;2;4;2;oui <1 m;non;non;non;non;non;non;non;non;non;aubépine;prunellier;cornouiller;non;non;chemin;culture;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/M13/7/H;10;M13;7;10/M13/7;74,7512158;0;0;2202,110804;Charlotte EPLE;03/04/2021;7H52;haie a plat ;D2 : Haie buissonnante avec arbres;non;non;pas d’entretien re?cent ;non;haie continue;1;4;3;oui >1 m;non;non;non;non;non;non;non;non;non;prunellier;aubépine;erable champêtre;non;non;chemin;prairie ;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
10/M13/8/H1;10;M13;8;10/M13/8;75,27678507;0;0;9532,933994;Charlotte EPLE;03/04/2021;7h33;haie a plat ;D1 : Haie buissonnante sans arbres;non;non;pas d’entretien re?cent ;non;haie avec quelques troue?es ;3;3;2;oui >1 m;non;non;non;non;non;non;non;non;non;aubépine;prunellier;erable champêtre;non;non;chemin;prairie ;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
10/M13/8/H2;10;M13;8;10/M13/8;75,27678507;0;0;9532,933994;Charlotte EPLE;03/04/2021;7h33;haie a plat ;D1 : Haie buissonnante sans arbres;non;non;pas d’entretien re?cent ;non;haie avec quelques troue?es ;2;3;2;oui >1 m;non;non;non;non;non;non;non;non;non;prunellier;aubépine;erable champêtre;non;non;chemin;prairie ;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/M13/9/H1;10;M13;9;10/M13/9;75,89177185;0;0;9065,044321;Charlotte EPLE;03/04/2021;7h17;haie a plat ;D2 : Haie buissonnante avec arbres;non;non;taille en fac?ade des 2 co?te?s ;oui;haie continue;2;4;2;oui <1 m;non;non;non;non;non;non;non;non;non;aubépine;cornouiller;erable champêtre;non;non;culture;chemin;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/M13/9/H2;10;M13;9;10/M13/9;75,89177185;0;0;9065,044321;Charlotte EPLE;03/04/2021;7h17;haie a plat ;D2 : Haie buissonnante avec arbres;non;non;taille en fac?ade des 2 co?te?s ;oui;haie avec quelques troue?es ;2;4;2;oui <1 m;non;non;non;non;non;non;non;non;non;troène;aubépine;cornouiller;oui;non;chemin;prairie ;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
